,title,type,kind,country,region,price_eur,volume_lit,order_number
2966, Horgelus Blanc Côtes de Gascogne 2021 - Domaine Horgelus ,white wine,dry,France,Gascogne (FR),6.53,0.75, 70217-FR-WW-BL-001-11 
2967, Pleno Tempranillo Navarra DO 2020 - Bodegas Agronavarra ,red wine,dry,Spain,Aragonien (ES),4.65,0.75, 70009-ES-RW-TE-0002-12 
2968, Fleur de d'Artagnan Blanc Côtes de Gascogne 2020 - Plaimont ,white wine,dry,France,Gascogne (FR),4.88,0.75, 70011-FR-WW-BL-005-12 
2969, Aimery Grande Cuvée 1531 Rosé Crémant Brut - Sieur d'Arques ,sparkling wine,crémant,brut - bruto,France,12.5,0.75, 70342-FR-SW-BL-002 
2970, Sauvignon Blanc trocken 2021 - Ellermann-Spiegel ,white wine,dry,Germany,Palatinate,6.99,0.75, 70569-DE-WW-SB-010-15 
2971, Santa Digna Rosé Cabernet Sauvignon 2021 - Miguel Torres Chile ,rosé wine,dry,Chile,Valle Central (CL),7.49,0.75, 70011-CL-RO-CS-215-13 
2972, Grauburgunder trocken 2021 - Ellermann-Spiegel ,white wine,dry,Germany,Palatinate,6.89,0.75, 70569-DE-WW-GB-010-15 
2973, Fragolino Rosso - Terre del Sole ,wine-based beverage,fragolino,mild - doux - sweet - dolce,Italy,4.64,0.75, 70077-IT-SW-001 
2974, Sessantanni Primitivo di Manduria DOC 2017 - Cantine San Marzano ,red wine,semi-dry,Italy,Apulia (IT),19.9,0.75, 70342-IT-RW-PR-503-11 
2975, Corvo Rosso Terre Siciliane 2019 - Duca di Salaparuta ,red wine,dry,Italy,Sizilien (IT),6.59,0.75, 70217-IT-RW-BL-044-11 
2976, Fragolino Rosso Frizzante - Bottega ,wine-based beverage,fragolino,mild - doux - sweet - dolce,Italy,5.97,0.75, 70601-IT-RW-001 
2977, Grauer Burgunder eins zu eins Kabinett trocken 2021 - A. Diehl ,white wine,dry,Germany,Palatinate,7.49,0.75, 70126-DE-WW-PG-002-12 
2978, Fabelhaft Tinto Douro DOC Rotwein 2020 - Niepoort ,red wine,dry,Portugal,Douro & Porto (PT),10.48,0.75, 70009-PT-RW-BL-009-12 
2979, Motivo Rosé extra dry - Borgo Molino ,sparkling wine,spumante,extra dry,Italy,10.86,0.75, 70121-IT-SW-BL-001 
2980, Mandus Primitivo di Manduria DOC 2019 - Pietra Pura ,red wine,dry,Italy,Apulia (IT),10.76,0.75, 70015-IT-RW-PR-005-11 
2981, Schmetterlinge im Bauch Rosé 2020 - Weingut Kiefer ,rosé wine,semi-dry,Germany,Baden (DE),6.19,0.75, 70019-DE-RO-001-13 
2982, Horgelus Blanc Côtes de Gascogne 2021 - Domaine Horgelus ,white wine,dry,France,Gascogne (FR),6.53,0.75, 70217-FR-WW-BL-001-11 
2983, Pleno Tempranillo Navarra DO 2020 - Bodegas Agronavarra ,red wine,dry,Spain,Aragonien (ES),4.65,0.75, 70009-ES-RW-TE-0002-12 
2984, Fleur de d'Artagnan Blanc Côtes de Gascogne 2020 - Plaimont ,white wine,dry,France,Gascogne (FR),4.88,0.75, 70011-FR-WW-BL-005-12 
2985, Aimery Grande Cuvée 1531 Rosé Crémant Brut - Sieur d'Arques ,sparkling wine,crémant,brut - bruto,France,12.5,0.75, 70342-FR-SW-BL-002 
2986, Sauvignon Blanc trocken 2021 - Ellermann-Spiegel ,white wine,dry,Germany,Palatinate,6.99,0.75, 70569-DE-WW-SB-010-15 
2987, Santa Digna Rosé Cabernet Sauvignon 2021 - Miguel Torres Chile ,rosé wine,dry,Chile,Valle Central (CL),7.49,0.75, 70011-CL-RO-CS-215-13 
2988, Grauburgunder trocken 2021 - Ellermann-Spiegel ,white wine,dry,Germany,Palatinate,6.89,0.75, 70569-DE-WW-GB-010-15 
2989, Fragolino Rosso - Terre del Sole ,wine-based beverage,fragolino,mild - doux - sweet - dolce,Italy,4.64,0.75, 70077-IT-SW-001 
2990, Sessantanni Primitivo di Manduria DOC 2017 - Cantine San Marzano ,red wine,semi-dry,Italy,Apulia (IT),19.9,0.75, 70342-IT-RW-PR-503-11 
2991, Corvo Rosso Terre Siciliane 2019 - Duca di Salaparuta ,red wine,dry,Italy,Sizilien (IT),6.59,0.75, 70217-IT-RW-BL-044-11 
2992, Fragolino Rosso Frizzante - Bottega ,wine-based beverage,fragolino,mild - doux - sweet - dolce,Italy,5.97,0.75, 70601-IT-RW-001 
2993, Grauer Burgunder eins zu eins Kabinett trocken 2021 - A. Diehl ,white wine,dry,Germany,Palatinate,7.49,0.75, 70126-DE-WW-PG-002-12 
2994, Fabelhaft Tinto Douro DOC Rotwein 2020 - Niepoort ,red wine,dry,Portugal,Douro & Porto (PT),10.48,0.75, 70009-PT-RW-BL-009-12 
2995, Motivo Rosé extra dry - Borgo Molino ,sparkling wine,spumante,extra dry,Italy,10.86,0.75, 70121-IT-SW-BL-001 
2996, Mandus Primitivo di Manduria DOC 2019 - Pietra Pura ,red wine,dry,Italy,Apulia (IT),10.76,0.75, 70015-IT-RW-PR-005-11 
2997, Schmetterlinge im Bauch Rosé 2020 - Weingut Kiefer ,rosé wine,semi-dry,Germany,Baden (DE),6.19,0.75, 70019-DE-RO-001-13 
2998, Horgelus Blanc Côtes de Gascogne 2021 - Domaine Horgelus ,white wine,dry,France,Gascogne (FR),6.53,0.75, 70217-FR-WW-BL-001-11 
2999, Pleno Tempranillo Navarra DO 2020 - Bodegas Agronavarra ,red wine,dry,Spain,Aragonien (ES),4.65,0.75, 70009-ES-RW-TE-0002-12 
3000, Fleur de d'Artagnan Blanc Côtes de Gascogne 2020 - Plaimont ,white wine,dry,France,Gascogne (FR),4.88,0.75, 70011-FR-WW-BL-005-12 
3001, Aimery Grande Cuvée 1531 Rosé Crémant Brut - Sieur d'Arques ,sparkling wine,crémant,brut - bruto,France,12.5,0.75, 70342-FR-SW-BL-002 
3002, Sauvignon Blanc trocken 2021 - Ellermann-Spiegel ,white wine,dry,Germany,Palatinate,6.99,0.75, 70569-DE-WW-SB-010-15 
3003, Santa Digna Rosé Cabernet Sauvignon 2021 - Miguel Torres Chile ,rosé wine,dry,Chile,Valle Central (CL),7.49,0.75, 70011-CL-RO-CS-215-13 
3004, Grauburgunder trocken 2021 - Ellermann-Spiegel ,white wine,dry,Germany,Palatinate,6.89,0.75, 70569-DE-WW-GB-010-15 
3005, Fragolino Rosso - Terre del Sole ,wine-based beverage,fragolino,mild - doux - sweet - dolce,Italy,4.64,0.75, 70077-IT-SW-001 
3006, Sessantanni Primitivo di Manduria DOC 2017 - Cantine San Marzano ,red wine,semi-dry,Italy,Apulia (IT),19.9,0.75, 70342-IT-RW-PR-503-11 
3007, Corvo Rosso Terre Siciliane 2019 - Duca di Salaparuta ,red wine,dry,Italy,Sizilien (IT),6.59,0.75, 70217-IT-RW-BL-044-11 
3008, Fragolino Rosso Frizzante - Bottega ,wine-based beverage,fragolino,mild - doux - sweet - dolce,Italy,5.97,0.75, 70601-IT-RW-001 
3009, Grauer Burgunder eins zu eins Kabinett trocken 2021 - A. Diehl ,white wine,dry,Germany,Palatinate,7.49,0.75, 70126-DE-WW-PG-002-12 
3010, Fabelhaft Tinto Douro DOC Rotwein 2020 - Niepoort ,red wine,dry,Portugal,Douro & Porto (PT),10.48,0.75, 70009-PT-RW-BL-009-12 
3011, Motivo Rosé extra dry - Borgo Molino ,sparkling wine,spumante,extra dry,Italy,10.86,0.75, 70121-IT-SW-BL-001 
3012, Mandus Primitivo di Manduria DOC 2019 - Pietra Pura ,red wine,dry,Italy,Apulia (IT),10.76,0.75, 70015-IT-RW-PR-005-11 
3013, Schmetterlinge im Bauch Rosé 2020 - Weingut Kiefer ,rosé wine,semi-dry,Germany,Baden (DE),6.19,0.75, 70019-DE-RO-001-13 
3014, Horgelus Blanc Côtes de Gascogne 2021 - Domaine Horgelus ,white wine,dry,France,Gascogne (FR),6.53,0.75, 70217-FR-WW-BL-001-11 
3015, Pleno Tempranillo Navarra DO 2020 - Bodegas Agronavarra ,red wine,dry,Spain,Aragonien (ES),4.65,0.75, 70009-ES-RW-TE-0002-12 
3016, Fleur de d'Artagnan Blanc Côtes de Gascogne 2020 - Plaimont ,white wine,dry,France,Gascogne (FR),4.88,0.75, 70011-FR-WW-BL-005-12 
3017, Aimery Grande Cuvée 1531 Rosé Crémant Brut - Sieur d'Arques ,sparkling wine,crémant,brut - bruto,France,12.5,0.75, 70342-FR-SW-BL-002 
3018, Sauvignon Blanc trocken 2021 - Ellermann-Spiegel ,white wine,dry,Germany,Palatinate,6.99,0.75, 70569-DE-WW-SB-010-15 
3019, Santa Digna Rosé Cabernet Sauvignon 2021 - Miguel Torres Chile ,rosé wine,dry,Chile,Valle Central (CL),7.49,0.75, 70011-CL-RO-CS-215-13 
3020, Grauburgunder trocken 2021 - Ellermann-Spiegel ,white wine,dry,Germany,Palatinate,6.89,0.75, 70569-DE-WW-GB-010-15 
3021, Fragolino Rosso - Terre del Sole ,wine-based beverage,fragolino,mild - doux - sweet - dolce,Italy,4.64,0.75, 70077-IT-SW-001 
3022, Sessantanni Primitivo di Manduria DOC 2017 - Cantine San Marzano ,red wine,semi-dry,Italy,Apulia (IT),19.9,0.75, 70342-IT-RW-PR-503-11 
3023, Corvo Rosso Terre Siciliane 2019 - Duca di Salaparuta ,red wine,dry,Italy,Sizilien (IT),6.59,0.75, 70217-IT-RW-BL-044-11 
3024, Fragolino Rosso Frizzante - Bottega ,wine-based beverage,fragolino,mild - doux - sweet - dolce,Italy,5.97,0.75, 70601-IT-RW-001 
3025, Grauer Burgunder eins zu eins Kabinett trocken 2021 - A. Diehl ,white wine,dry,Germany,Palatinate,7.49,0.75, 70126-DE-WW-PG-002-12 
3026, Fabelhaft Tinto Douro DOC Rotwein 2020 - Niepoort ,red wine,dry,Portugal,Douro & Porto (PT),10.48,0.75, 70009-PT-RW-BL-009-12 
3027, Motivo Rosé extra dry - Borgo Molino ,sparkling wine,spumante,extra dry,Italy,10.86,0.75, 70121-IT-SW-BL-001 
3028, Mandus Primitivo di Manduria DOC 2019 - Pietra Pura ,red wine,dry,Italy,Apulia (IT),10.76,0.75, 70015-IT-RW-PR-005-11 
3029, Schmetterlinge im Bauch Rosé 2020 - Weingut Kiefer ,rosé wine,semi-dry,Germany,Baden (DE),6.19,0.75, 70019-DE-RO-001-13 
3030, Horgelus Blanc Côtes de Gascogne 2021 - Domaine Horgelus ,white wine,dry,France,Gascogne (FR),6.53,0.75, 70217-FR-WW-BL-001-11 
3031, Pleno Tempranillo Navarra DO 2020 - Bodegas Agronavarra ,red wine,dry,Spain,Aragonien (ES),4.65,0.75, 70009-ES-RW-TE-0002-12 
3032, Fleur de d'Artagnan Blanc Côtes de Gascogne 2020 - Plaimont ,white wine,dry,France,Gascogne (FR),4.88,0.75, 70011-FR-WW-BL-005-12 
3033, Aimery Grande Cuvée 1531 Rosé Crémant Brut - Sieur d'Arques ,sparkling wine,crémant,brut - bruto,France,12.5,0.75, 70342-FR-SW-BL-002 
3034, Sauvignon Blanc trocken 2021 - Ellermann-Spiegel ,white wine,dry,Germany,Palatinate,6.99,0.75, 70569-DE-WW-SB-010-15 
3035, Santa Digna Rosé Cabernet Sauvignon 2021 - Miguel Torres Chile ,rosé wine,dry,Chile,Valle Central (CL),7.49,0.75, 70011-CL-RO-CS-215-13 
3036, Grauburgunder trocken 2021 - Ellermann-Spiegel ,white wine,dry,Germany,Palatinate,6.89,0.75, 70569-DE-WW-GB-010-15 
3037, Fragolino Rosso - Terre del Sole ,wine-based beverage,fragolino,mild - doux - sweet - dolce,Italy,4.64,0.75, 70077-IT-SW-001 
3038, Sessantanni Primitivo di Manduria DOC 2017 - Cantine San Marzano ,red wine,semi-dry,Italy,Apulia (IT),19.9,0.75, 70342-IT-RW-PR-503-11 
3039, Corvo Rosso Terre Siciliane 2019 - Duca di Salaparuta ,red wine,dry,Italy,Sizilien (IT),6.59,0.75, 70217-IT-RW-BL-044-11 
3040, Fragolino Rosso Frizzante - Bottega ,wine-based beverage,fragolino,mild - doux - sweet - dolce,Italy,5.97,0.75, 70601-IT-RW-001 
3041, Grauer Burgunder eins zu eins Kabinett trocken 2021 - A. Diehl ,white wine,dry,Germany,Palatinate,7.49,0.75, 70126-DE-WW-PG-002-12 
3042, Fabelhaft Tinto Douro DOC Rotwein 2020 - Niepoort ,red wine,dry,Portugal,Douro & Porto (PT),10.48,0.75, 70009-PT-RW-BL-009-12 
3043, Motivo Rosé extra dry - Borgo Molino ,sparkling wine,spumante,extra dry,Italy,10.86,0.75, 70121-IT-SW-BL-001 
3044, Mandus Primitivo di Manduria DOC 2019 - Pietra Pura ,red wine,dry,Italy,Apulia (IT),10.76,0.75, 70015-IT-RW-PR-005-11 
3045, Schmetterlinge im Bauch Rosé 2020 - Weingut Kiefer ,rosé wine,semi-dry,Germany,Baden (DE),6.19,0.75, 70019-DE-RO-001-13 
3046, Horgelus Blanc Côtes de Gascogne 2021 - Domaine Horgelus ,white wine,dry,France,Gascogne (FR),6.53,0.75, 70217-FR-WW-BL-001-11 
3047, Pleno Tempranillo Navarra DO 2020 - Bodegas Agronavarra ,red wine,dry,Spain,Aragonien (ES),4.65,0.75, 70009-ES-RW-TE-0002-12 
3048, Fleur de d'Artagnan Blanc Côtes de Gascogne 2020 - Plaimont ,white wine,dry,France,Gascogne (FR),4.88,0.75, 70011-FR-WW-BL-005-12 
3049, Aimery Grande Cuvée 1531 Rosé Crémant Brut - Sieur d'Arques ,sparkling wine,crémant,brut - bruto,France,12.5,0.75, 70342-FR-SW-BL-002 
3050, Sauvignon Blanc trocken 2021 - Ellermann-Spiegel ,white wine,dry,Germany,Palatinate,6.99,0.75, 70569-DE-WW-SB-010-15 
3051, Santa Digna Rosé Cabernet Sauvignon 2021 - Miguel Torres Chile ,rosé wine,dry,Chile,Valle Central (CL),7.49,0.75, 70011-CL-RO-CS-215-13 
3052, Grauburgunder trocken 2021 - Ellermann-Spiegel ,white wine,dry,Germany,Palatinate,6.89,0.75, 70569-DE-WW-GB-010-15 
3053, Fragolino Rosso - Terre del Sole ,wine-based beverage,fragolino,mild - doux - sweet - dolce,Italy,4.64,0.75, 70077-IT-SW-001 
3054, Sessantanni Primitivo di Manduria DOC 2017 - Cantine San Marzano ,red wine,semi-dry,Italy,Apulia (IT),19.9,0.75, 70342-IT-RW-PR-503-11 
3055, Corvo Rosso Terre Siciliane 2019 - Duca di Salaparuta ,red wine,dry,Italy,Sizilien (IT),6.59,0.75, 70217-IT-RW-BL-044-11 
3056, Fragolino Rosso Frizzante - Bottega ,wine-based beverage,fragolino,mild - doux - sweet - dolce,Italy,5.97,0.75, 70601-IT-RW-001 
3057, Grauer Burgunder eins zu eins Kabinett trocken 2021 - A. Diehl ,white wine,dry,Germany,Palatinate,7.49,0.75, 70126-DE-WW-PG-002-12 
3058, Fabelhaft Tinto Douro DOC Rotwein 2020 - Niepoort ,red wine,dry,Portugal,Douro & Porto (PT),10.48,0.75, 70009-PT-RW-BL-009-12 
3059, Motivo Rosé extra dry - Borgo Molino ,sparkling wine,spumante,extra dry,Italy,10.86,0.75, 70121-IT-SW-BL-001 
3060, Mandus Primitivo di Manduria DOC 2019 - Pietra Pura ,red wine,dry,Italy,Apulia (IT),10.76,0.75, 70015-IT-RW-PR-005-11 
3061, Schmetterlinge im Bauch Rosé 2020 - Weingut Kiefer ,rosé wine,semi-dry,Germany,Baden (DE),6.19,0.75, 70019-DE-RO-001-13 
3062, Horgelus Blanc Côtes de Gascogne 2021 - Domaine Horgelus ,white wine,dry,France,Gascogne (FR),6.53,0.75, 70217-FR-WW-BL-001-11 
3063, Pleno Tempranillo Navarra DO 2020 - Bodegas Agronavarra ,red wine,dry,Spain,Aragonien (ES),4.65,0.75, 70009-ES-RW-TE-0002-12 
3064, Fleur de d'Artagnan Blanc Côtes de Gascogne 2020 - Plaimont ,white wine,dry,France,Gascogne (FR),4.88,0.75, 70011-FR-WW-BL-005-12 
3065, Aimery Grande Cuvée 1531 Rosé Crémant Brut - Sieur d'Arques ,sparkling wine,crémant,brut - bruto,France,12.5,0.75, 70342-FR-SW-BL-002 
3066, Sauvignon Blanc trocken 2021 - Ellermann-Spiegel ,white wine,dry,Germany,Palatinate,6.99,0.75, 70569-DE-WW-SB-010-15 
3067, Santa Digna Rosé Cabernet Sauvignon 2021 - Miguel Torres Chile ,rosé wine,dry,Chile,Valle Central (CL),7.49,0.75, 70011-CL-RO-CS-215-13 
3068, Grauburgunder trocken 2021 - Ellermann-Spiegel ,white wine,dry,Germany,Palatinate,6.89,0.75, 70569-DE-WW-GB-010-15 
3069, Fragolino Rosso - Terre del Sole ,wine-based beverage,fragolino,mild - doux - sweet - dolce,Italy,4.64,0.75, 70077-IT-SW-001 
3070, Sessantanni Primitivo di Manduria DOC 2017 - Cantine San Marzano ,red wine,semi-dry,Italy,Apulia (IT),19.9,0.75, 70342-IT-RW-PR-503-11 
3071, Corvo Rosso Terre Siciliane 2019 - Duca di Salaparuta ,red wine,dry,Italy,Sizilien (IT),6.59,0.75, 70217-IT-RW-BL-044-11 
3072, Fragolino Rosso Frizzante - Bottega ,wine-based beverage,fragolino,mild - doux - sweet - dolce,Italy,5.97,0.75, 70601-IT-RW-001 
3073, Grauer Burgunder eins zu eins Kabinett trocken 2021 - A. Diehl ,white wine,dry,Germany,Palatinate,7.49,0.75, 70126-DE-WW-PG-002-12 
3074, Fabelhaft Tinto Douro DOC Rotwein 2020 - Niepoort ,red wine,dry,Portugal,Douro & Porto (PT),10.48,0.75, 70009-PT-RW-BL-009-12 
3075, Motivo Rosé extra dry - Borgo Molino ,sparkling wine,spumante,extra dry,Italy,10.86,0.75, 70121-IT-SW-BL-001 
3076, Mandus Primitivo di Manduria DOC 2019 - Pietra Pura ,red wine,dry,Italy,Apulia (IT),10.76,0.75, 70015-IT-RW-PR-005-11 
3077, Schmetterlinge im Bauch Rosé 2020 - Weingut Kiefer ,rosé wine,semi-dry,Germany,Baden (DE),6.19,0.75, 70019-DE-RO-001-13 
3078, Horgelus Blanc Côtes de Gascogne 2021 - Domaine Horgelus ,white wine,dry,France,Gascogne (FR),6.53,0.75, 70217-FR-WW-BL-001-11 
3079, Pleno Tempranillo Navarra DO 2020 - Bodegas Agronavarra ,red wine,dry,Spain,Aragonien (ES),4.65,0.75, 70009-ES-RW-TE-0002-12 
3080, Fleur de d'Artagnan Blanc Côtes de Gascogne 2020 - Plaimont ,white wine,dry,France,Gascogne (FR),4.88,0.75, 70011-FR-WW-BL-005-12 
3081, Aimery Grande Cuvée 1531 Rosé Crémant Brut - Sieur d'Arques ,sparkling wine,crémant,brut - bruto,France,12.5,0.75, 70342-FR-SW-BL-002 
3082, Sauvignon Blanc trocken 2021 - Ellermann-Spiegel ,white wine,dry,Germany,Palatinate,6.99,0.75, 70569-DE-WW-SB-010-15 
3083, Santa Digna Rosé Cabernet Sauvignon 2021 - Miguel Torres Chile ,rosé wine,dry,Chile,Valle Central (CL),7.49,0.75, 70011-CL-RO-CS-215-13 
3084, Grauburgunder trocken 2021 - Ellermann-Spiegel ,white wine,dry,Germany,Palatinate,6.89,0.75, 70569-DE-WW-GB-010-15 
3085, Fragolino Rosso - Terre del Sole ,wine-based beverage,fragolino,mild - doux - sweet - dolce,Italy,4.64,0.75, 70077-IT-SW-001 
3086, Sessantanni Primitivo di Manduria DOC 2017 - Cantine San Marzano ,red wine,semi-dry,Italy,Apulia (IT),19.9,0.75, 70342-IT-RW-PR-503-11 
3087, Corvo Rosso Terre Siciliane 2019 - Duca di Salaparuta ,red wine,dry,Italy,Sizilien (IT),6.59,0.75, 70217-IT-RW-BL-044-11 
3088, Fragolino Rosso Frizzante - Bottega ,wine-based beverage,fragolino,mild - doux - sweet - dolce,Italy,5.97,0.75, 70601-IT-RW-001 
3089, Grauer Burgunder eins zu eins Kabinett trocken 2021 - A. Diehl ,white wine,dry,Germany,Palatinate,7.49,0.75, 70126-DE-WW-PG-002-12 
3090, Fabelhaft Tinto Douro DOC Rotwein 2020 - Niepoort ,red wine,dry,Portugal,Douro & Porto (PT),10.48,0.75, 70009-PT-RW-BL-009-12 
3091, Motivo Rosé extra dry - Borgo Molino ,sparkling wine,spumante,extra dry,Italy,10.86,0.75, 70121-IT-SW-BL-001 
3092, Mandus Primitivo di Manduria DOC 2019 - Pietra Pura ,red wine,dry,Italy,Apulia (IT),10.76,0.75, 70015-IT-RW-PR-005-11 
3093, Schmetterlinge im Bauch Rosé 2020 - Weingut Kiefer ,rosé wine,semi-dry,Germany,Baden (DE),6.19,0.75, 70019-DE-RO-001-13 
3094, Horgelus Blanc Côtes de Gascogne 2021 - Domaine Horgelus ,white wine,dry,France,Gascogne (FR),6.53,0.75, 70217-FR-WW-BL-001-11 
3095, Pleno Tempranillo Navarra DO 2020 - Bodegas Agronavarra ,red wine,dry,Spain,Aragonien (ES),4.65,0.75, 70009-ES-RW-TE-0002-12 
3096, Fleur de d'Artagnan Blanc Côtes de Gascogne 2020 - Plaimont ,white wine,dry,France,Gascogne (FR),4.88,0.75, 70011-FR-WW-BL-005-12 
3097, Aimery Grande Cuvée 1531 Rosé Crémant Brut - Sieur d'Arques ,sparkling wine,crémant,brut - bruto,France,12.5,0.75, 70342-FR-SW-BL-002 
3098, Sauvignon Blanc trocken 2021 - Ellermann-Spiegel ,white wine,dry,Germany,Palatinate,6.99,0.75, 70569-DE-WW-SB-010-15 
3099, Santa Digna Rosé Cabernet Sauvignon 2021 - Miguel Torres Chile ,rosé wine,dry,Chile,Valle Central (CL),7.49,0.75, 70011-CL-RO-CS-215-13 
3100, Grauburgunder trocken 2021 - Ellermann-Spiegel ,white wine,dry,Germany,Palatinate,6.89,0.75, 70569-DE-WW-GB-010-15 
3101, Fragolino Rosso - Terre del Sole ,wine-based beverage,fragolino,mild - doux - sweet - dolce,Italy,4.64,0.75, 70077-IT-SW-001 
3102, Sessantanni Primitivo di Manduria DOC 2017 - Cantine San Marzano ,red wine,semi-dry,Italy,Apulia (IT),19.9,0.75, 70342-IT-RW-PR-503-11 
3103, Corvo Rosso Terre Siciliane 2019 - Duca di Salaparuta ,red wine,dry,Italy,Sizilien (IT),6.59,0.75, 70217-IT-RW-BL-044-11 
3104, Fragolino Rosso Frizzante - Bottega ,wine-based beverage,fragolino,mild - doux - sweet - dolce,Italy,5.97,0.75, 70601-IT-RW-001 
3105, Grauer Burgunder eins zu eins Kabinett trocken 2021 - A. Diehl ,white wine,dry,Germany,Palatinate,7.49,0.75, 70126-DE-WW-PG-002-12 
3106, Fabelhaft Tinto Douro DOC Rotwein 2020 - Niepoort ,red wine,dry,Portugal,Douro & Porto (PT),10.48,0.75, 70009-PT-RW-BL-009-12 
3107, Motivo Rosé extra dry - Borgo Molino ,sparkling wine,spumante,extra dry,Italy,10.86,0.75, 70121-IT-SW-BL-001 
3108, Mandus Primitivo di Manduria DOC 2019 - Pietra Pura ,red wine,dry,Italy,Apulia (IT),10.76,0.75, 70015-IT-RW-PR-005-11 
3109, Schmetterlinge im Bauch Rosé 2020 - Weingut Kiefer ,rosé wine,semi-dry,Germany,Baden (DE),6.19,0.75, 70019-DE-RO-001-13 
3110, Horgelus Blanc Côtes de Gascogne 2021 - Domaine Horgelus ,white wine,dry,France,Gascogne (FR),6.53,0.75, 70217-FR-WW-BL-001-11 
3111, Pleno Tempranillo Navarra DO 2020 - Bodegas Agronavarra ,red wine,dry,Spain,Aragonien (ES),4.65,0.75, 70009-ES-RW-TE-0002-12 
3112, Fleur de d'Artagnan Blanc Côtes de Gascogne 2020 - Plaimont ,white wine,dry,France,Gascogne (FR),4.88,0.75, 70011-FR-WW-BL-005-12 
3113, Aimery Grande Cuvée 1531 Rosé Crémant Brut - Sieur d'Arques ,sparkling wine,crémant,brut - bruto,France,12.5,0.75, 70342-FR-SW-BL-002 
3114, Sauvignon Blanc trocken 2021 - Ellermann-Spiegel ,white wine,dry,Germany,Palatinate,6.99,0.75, 70569-DE-WW-SB-010-15 
3115, Santa Digna Rosé Cabernet Sauvignon 2021 - Miguel Torres Chile ,rosé wine,dry,Chile,Valle Central (CL),7.49,0.75, 70011-CL-RO-CS-215-13 
3116, Grauburgunder trocken 2021 - Ellermann-Spiegel ,white wine,dry,Germany,Palatinate,6.89,0.75, 70569-DE-WW-GB-010-15 
3117, Fragolino Rosso - Terre del Sole ,wine-based beverage,fragolino,mild - doux - sweet - dolce,Italy,4.64,0.75, 70077-IT-SW-001 
3118, Sessantanni Primitivo di Manduria DOC 2017 - Cantine San Marzano ,red wine,semi-dry,Italy,Apulia (IT),19.9,0.75, 70342-IT-RW-PR-503-11 
3119, Corvo Rosso Terre Siciliane 2019 - Duca di Salaparuta ,red wine,dry,Italy,Sizilien (IT),6.59,0.75, 70217-IT-RW-BL-044-11 
3120, Fragolino Rosso Frizzante - Bottega ,wine-based beverage,fragolino,mild - doux - sweet - dolce,Italy,5.97,0.75, 70601-IT-RW-001 
3121, Grauer Burgunder eins zu eins Kabinett trocken 2021 - A. Diehl ,white wine,dry,Germany,Palatinate,7.49,0.75, 70126-DE-WW-PG-002-12 
3122, Fabelhaft Tinto Douro DOC Rotwein 2020 - Niepoort ,red wine,dry,Portugal,Douro & Porto (PT),10.48,0.75, 70009-PT-RW-BL-009-12 
3123, Motivo Rosé extra dry - Borgo Molino ,sparkling wine,spumante,extra dry,Italy,10.86,0.75, 70121-IT-SW-BL-001 
3124, Mandus Primitivo di Manduria DOC 2019 - Pietra Pura ,red wine,dry,Italy,Apulia (IT),10.76,0.75, 70015-IT-RW-PR-005-11 
3125, Schmetterlinge im Bauch Rosé 2020 - Weingut Kiefer ,rosé wine,semi-dry,Germany,Baden (DE),6.19,0.75, 70019-DE-RO-001-13 
3126, Horgelus Blanc Côtes de Gascogne 2021 - Domaine Horgelus ,white wine,dry,France,Gascogne (FR),6.53,0.75, 70217-FR-WW-BL-001-11 
3127, Pleno Tempranillo Navarra DO 2020 - Bodegas Agronavarra ,red wine,dry,Spain,Aragonien (ES),4.65,0.75, 70009-ES-RW-TE-0002-12 
3128, Fleur de d'Artagnan Blanc Côtes de Gascogne 2020 - Plaimont ,white wine,dry,France,Gascogne (FR),4.88,0.75, 70011-FR-WW-BL-005-12 
3129, Aimery Grande Cuvée 1531 Rosé Crémant Brut - Sieur d'Arques ,sparkling wine,crémant,brut - bruto,France,12.5,0.75, 70342-FR-SW-BL-002 
3130, Sauvignon Blanc trocken 2021 - Ellermann-Spiegel ,white wine,dry,Germany,Palatinate,6.99,0.75, 70569-DE-WW-SB-010-15 
3131, Santa Digna Rosé Cabernet Sauvignon 2021 - Miguel Torres Chile ,rosé wine,dry,Chile,Valle Central (CL),7.49,0.75, 70011-CL-RO-CS-215-13 
3132, Grauburgunder trocken 2021 - Ellermann-Spiegel ,white wine,dry,Germany,Palatinate,6.89,0.75, 70569-DE-WW-GB-010-15 
3133, Fragolino Rosso - Terre del Sole ,wine-based beverage,fragolino,mild - doux - sweet - dolce,Italy,4.64,0.75, 70077-IT-SW-001 
3134, Sessantanni Primitivo di Manduria DOC 2017 - Cantine San Marzano ,red wine,semi-dry,Italy,Apulia (IT),19.9,0.75, 70342-IT-RW-PR-503-11 
3135, Corvo Rosso Terre Siciliane 2019 - Duca di Salaparuta ,red wine,dry,Italy,Sizilien (IT),6.59,0.75, 70217-IT-RW-BL-044-11 
3136, Fragolino Rosso Frizzante - Bottega ,wine-based beverage,fragolino,mild - doux - sweet - dolce,Italy,5.97,0.75, 70601-IT-RW-001 
3137, Grauer Burgunder eins zu eins Kabinett trocken 2021 - A. Diehl ,white wine,dry,Germany,Palatinate,7.49,0.75, 70126-DE-WW-PG-002-12 
